Fecha,variable,value
2020-05-20,Graves,0.0008557402152862226
2020-05-21,Graves,0.0008557402152862226
2020-05-22,Graves,0.0009007791739854974
2020-05-23,Graves,0.0009458181326847723
2020-05-24,Graves,0.0009232986533351349
2020-05-25,Graves,0.0009683376120344098
2020-05-26,Graves,0.0010133765707336846
2020-05-27,Graves,0.0009908570913840472
2020-05-28,Graves,0.0009458181326847723
2020-05-29,Graves,0.0009232986533351349
2020-05-30,Graves,0.0009683376120344098
2020-05-31,Graves,0.0009458181326847723
2020-06-01,Graves,0.0009232986533351349
2020-06-02,Graves,0.0009458181326847723
2020-06-03,Graves,0.0009683376120344098
2020-06-04,Graves,0.001080935008782597
2020-06-05,Graves,0.001125973967481872
2020-06-06,Graves,0.0010584155294329595
2020-06-07,Graves,0.0011034544881322343
2020-06-08,Graves,0.001125973967481872
2020-06-09,Graves,0.0012610908435796964
2020-06-10,Graves,0.001238571364230059
2020-06-11,Graves,0.0013286492816286088
2020-06-12,Graves,0.0013061298022789714
2020-06-13,Graves,0.0012836103229293338
2020-06-14,Graves,0.0013511687609782462
2020-06-15,Graves,0.0013286492816286088
2020-06-16,Graves,0.0013736882403278835
2020-06-17,Graves,0.0013286492816286088
2020-06-18,Graves,0.0013736882403278835
2020-06-19,Graves,0.0013511687609782462
2020-06-20,Graves,0.0013736882403278835
2020-06-21,Graves,0.001238571364230059
2020-06-22,Graves,0.0012610908435796964
2020-06-23,Graves,0.0012836103229293338
2020-06-24,Graves,0.0012160518848804217
2020-06-25,Graves,0.0011484934468315093
2020-06-26,Graves,0.001080935008782597
2020-06-27,Graves,0.0009908570913840472
2020-06-28,Graves,0.0009232986533351349
2020-06-29,Graves,0.0009458181326847723
2020-06-30,Graves,0.0009232986533351349
2020-07-01,Graves,0.0009007791739854974
2020-07-02,Graves,0.0009683376120344098
2020-07-03,Graves,0.0009007791739854974
2020-07-04,Graves,0.0008557402152862226
2020-07-05,Graves,0.0008557402152862226
2020-07-06,Graves,0.0007881817772373103
2020-07-07,Graves,0.0007656622978876728
2020-07-08,Graves,0.0008107012565869477
2020-07-09,Graves,0.0007881817772373103
2020-07-10,Graves,0.0008557402152862226
2020-07-11,Graves,0.0008557402152862226
2020-07-12,Graves,0.0009007791739854974
2020-07-13,Graves,0.0008782596946358601
2020-07-14,Graves,0.0008332207359365852
2020-07-15,Graves,0.0007431428185380354
2020-07-16,Graves,0.0007431428185380354
2020-07-17,Graves,0.0007431428185380354
2020-07-18,Graves,0.000720623339188398
2020-07-19,Graves,0.0007431428185380354
2020-07-20,Graves,0.0006981038598387606
2020-07-21,Graves,0.0007431428185380354
2020-07-22,Graves,0.0007431428185380354
2020-07-23,Graves,0.0007431428185380354
2020-07-24,Graves,0.0008107012565869477
2020-07-25,Graves,0.0007431428185380354
2020-07-26,Graves,0.0006981038598387606
2020-07-27,Graves,0.0007431428185380354
2020-07-28,Graves,0.0007656622978876728
2020-07-29,Graves,0.0007431428185380354
2020-07-30,Graves,0.0007881817772373103
2020-07-31,Graves,0.0007431428185380354
2020-08-01,Graves,0.0006530649011394857
2020-08-02,Graves,0.000562986983740936
2020-08-03,Graves,0.0006080259424402108
2020-08-04,Graves,0.000562986983740936
2020-08-05,Graves,0.0006080259424402108
2020-08-06,Graves,0.0005855064630905733
2020-08-07,Graves,0.0005404675043912985
2020-08-08,Graves,0.0005179480250416611
2020-08-09,Graves,0.0004954285456920236
2020-08-10,Graves,0.0005179480250416611
2020-08-11,Graves,0.0005404675043912985
2020-08-12,Graves,0.0005404675043912985
2020-08-13,Graves,0.000562986983740936
2020-08-14,Graves,0.000562986983740936
2020-08-15,Graves,0.0005855064630905733
2020-08-16,Graves,0.0005855064630905733
2020-08-17,Graves,0.0006080259424402108
2020-08-18,Graves,0.0004954285456920236
2020-08-19,Graves,0.0005404675043912985
2020-08-20,Graves,0.0004278701076431113
2020-08-21,Graves,0.0004278701076431113
2020-08-22,Graves,0.0004278701076431113
2020-08-23,Graves,0.0004278701076431113
2020-08-24,Graves,0.00040535062829347385
2020-08-25,Graves,0.00040535062829347385
2020-08-26,Graves,0.00040535062829347385
2020-08-27,Graves,0.0003828311489438364
2020-08-28,Graves,0.00040535062829347385
2020-08-29,Graves,0.0004503895869927487
2020-08-30,Graves,0.0004503895869927487
2020-08-31,Graves,0.0003828311489438364
2020-09-01,Graves,0.00033779219024456154
2020-09-02,Graves,0.0003152727108949241
2020-09-03,Graves,0.00033779219024456154
2020-09-04,Graves,0.00033779219024456154
2020-09-05,Graves,0.0003152727108949241
2020-09-06,Graves,0.00029275323154528667
2020-09-07,Graves,0.0003152727108949241
2020-09-08,Graves,0.00022519479349637436
2020-09-09,Graves,0.00020267531414673692
2020-09-10,Graves,0.0001801558347970995
2020-09-11,Graves,0.0001801558347970995
2020-09-12,Graves,0.00011259739674818718
2020-09-13,Graves,0.00013511687609782462
2020-09-14,Graves,0.00015763635544746205
2020-09-15,Graves,0.00022519479349637436
2020-09-16,Graves,0.00022519479349637436
2020-09-17,Graves,0.00020267531414673692
2020-09-18,Graves,0.00020267531414673692
2020-09-19,Graves,0.00020267531414673692
2020-09-20,Graves,0.00027023375219564923
2020-09-21,Graves,0.00027023375219564923
2020-03-06,Graves,0.0
2020-03-07,Graves,0.0
2020-03-08,Graves,0.0
2020-03-09,Graves,0.0
2020-03-10,Graves,0.0
2020-03-11,Graves,2.2519479349637436e-05
2020-03-12,Graves,2.2519479349637436e-05
2020-03-13,Graves,2.2519479349637436e-05
2020-03-14,Graves,2.2519479349637436e-05
2020-03-15,Graves,2.2519479349637436e-05
2020-03-16,Graves,2.2519479349637436e-05
2020-03-17,Graves,2.2519479349637436e-05
2020-03-18,Graves,2.2519479349637436e-05
2020-03-19,Graves,2.2519479349637436e-05
2020-03-20,Graves,2.2519479349637436e-05
2020-03-21,Graves,4.503895869927487e-05
2020-03-22,Graves,4.503895869927487e-05
2020-03-23,Graves,2.2519479349637436e-05
2020-03-24,Graves,9.007791739854974e-05
2020-03-25,Graves,0.00011259739674818718
2020-03-26,Graves,0.00011259739674818718
2020-03-27,Graves,0.00015763635544746205
2020-03-28,Graves,0.0001801558347970995
2020-03-29,Graves,0.0002477142728460118
2020-03-30,Graves,0.00027023375219564923
2020-03-31,Graves,0.00027023375219564923
2020-04-01,Graves,0.00033779219024456154
2020-04-02,Graves,0.000360311669594199
2020-04-03,Graves,0.000360311669594199
2020-04-04,Graves,0.000360311669594199
2020-04-05,Graves,0.000360311669594199
2020-04-06,Graves,0.00040535062829347385
2020-04-07,Graves,0.0004503895869927487
2020-04-08,Graves,0.00047290906634238616
2020-04-09,Graves,0.0005404675043912985
2020-04-10,Graves,0.0005179480250416611
2020-04-11,Graves,0.0005404675043912985
2020-04-12,Graves,0.0005179480250416611
2020-04-13,Graves,0.000562986983740936
2020-04-14,Graves,0.0005404675043912985
2020-04-15,Graves,0.0005404675043912985
2020-04-16,Graves,0.0005179480250416611
2020-04-17,Graves,0.0005404675043912985
2020-04-18,Graves,0.0006080259424402108
2020-04-19,Graves,0.0005855064630905733
2020-04-20,Graves,0.0005855064630905733
2020-04-21,Graves,0.0005855064630905733
2020-04-22,Graves,0.000562986983740936
2020-04-23,Graves,0.0006080259424402108
2020-04-24,Graves,0.0005855064630905733
2020-04-25,Graves,0.0005404675043912985
2020-04-26,Graves,0.0005179480250416611
2020-04-27,Graves,0.0005404675043912985
2020-04-28,Graves,0.0005404675043912985
2020-04-29,Graves,0.0005404675043912985
2020-04-30,Graves,0.0005855064630905733
2020-05-01,Graves,0.000562986983740936
2020-05-02,Graves,0.0005179480250416611
2020-05-03,Graves,0.0005855064630905733
2020-05-04,Graves,0.0006530649011394857
2020-05-05,Graves,0.0006305454217898482
2020-05-06,Graves,0.0006080259424402108
2020-05-07,Graves,0.0005855064630905733
2020-05-08,Graves,0.0006080259424402108
2020-05-09,Graves,0.000562986983740936
2020-05-10,Graves,0.000562986983740936
2020-05-11,Graves,0.0005404675043912985
2020-05-12,Graves,0.0005179480250416611
2020-05-13,Graves,0.0004954285456920236
2020-05-14,Graves,0.0004954285456920236
2020-05-15,Graves,0.00047290906634238616
2020-05-16,Graves,0.0005179480250416611
2020-05-17,Graves,0.000562986983740936
2020-05-18,Graves,0.0005855064630905733
2020-05-19,Graves,0.0006080259424402108
2020-05-20,Graves,0.0006080259424402108
2020-05-21,Graves,0.000562986983740936
2020-05-22,Graves,0.0006080259424402108
2020-05-23,Graves,0.000720623339188398
2020-05-24,Graves,0.0007431428185380354
2020-05-25,Graves,0.000720623339188398
2020-05-26,Graves,0.0006981038598387606
2020-05-27,Graves,0.0007656622978876728
2020-05-28,Graves,0.0006755843804891231
2020-05-29,Graves,0.0006981038598387606
2020-05-30,Graves,0.0007881817772373103
2020-05-31,Graves,0.0008332207359365852
2020-06-01,Graves,0.0008332207359365852
2020-06-02,Graves,0.0008557402152862226
2020-06-03,Graves,0.0009232986533351349
2020-06-04,Graves,0.0009683376120344098
2020-06-05,Graves,0.0009458181326847723
2020-06-06,Graves,0.0009232986533351349
2020-06-07,Graves,0.001080935008782597
2020-06-08,Graves,0.0011710129261811467
2020-06-09,Graves,0.0012610908435796964
2020-06-10,Graves,0.0012610908435796964
2020-06-11,Graves,0.001193532405530784
2020-06-12,Graves,0.001193532405530784
2020-06-13,Graves,0.0011034544881322343
2020-06-14,Graves,0.0011484934468315093
2020-06-15,Graves,0.0011034544881322343
2020-06-16,Graves,0.0011484934468315093
2020-06-17,Graves,0.001080935008782597
2020-06-18,Graves,0.001080935008782597
2020-06-19,Graves,0.0010358960500833222
2020-06-20,Graves,0.0009683376120344098
2020-06-21,Graves,0.0010584155294329595
2020-06-22,Graves,0.0010584155294329595
2020-06-23,Graves,0.001080935008782597
2020-06-24,Graves,0.0011034544881322343
2020-06-25,Graves,0.0010584155294329595
2020-06-26,Graves,0.001080935008782597
2020-06-27,Graves,0.001080935008782597
2020-06-28,Graves,0.001080935008782597
2020-06-29,Graves,0.001125973967481872
2020-06-30,Graves,0.001125973967481872
2020-07-01,Graves,0.0011710129261811467
2020-07-02,Graves,0.001238571364230059
2020-07-03,Graves,0.001238571364230059
2020-07-04,Graves,0.0011484934468315093
2020-07-05,Graves,0.0011710129261811467
2020-07-06,Graves,0.0011710129261811467
2020-07-07,Graves,0.001125973967481872
2020-07-08,Graves,0.0012160518848804217
2020-07-09,Graves,0.0012610908435796964
2020-07-10,Graves,0.0013061298022789714
2020-07-11,Graves,0.001238571364230059
2020-07-12,Graves,0.0011484934468315093
2020-07-13,Graves,0.001080935008782597
2020-07-14,Graves,0.001080935008782597
2020-07-15,Graves,0.0010358960500833222
2020-07-16,Graves,0.0009232986533351349
2020-07-17,Graves,0.0009458181326847723
2020-07-18,Graves,0.0009232986533351349
2020-07-19,Graves,0.0009007791739854974
2020-07-20,Graves,0.0008332207359365852
2020-07-21,Graves,0.0008557402152862226
2020-07-22,Graves,0.0008107012565869477
2020-07-23,Graves,0.0008557402152862226
2020-07-24,Graves,0.0007881817772373103
2020-07-25,Graves,0.0008107012565869477
2020-07-26,Graves,0.0009007791739854974
2020-07-27,Graves,0.0009232986533351349
2020-07-28,Graves,0.0009007791739854974
2020-07-29,Graves,0.0009007791739854974
2020-07-30,Graves,0.0009007791739854974
2020-07-31,Graves,0.0009007791739854974
2020-08-01,Graves,0.0008107012565869477
2020-08-02,Graves,0.0007881817772373103
2020-08-03,Graves,0.0007656622978876728
2020-08-04,Graves,0.0007881817772373103
2020-08-05,Graves,0.0007431428185380354
2020-08-06,Graves,0.000720623339188398
2020-08-07,Graves,0.0006981038598387606
2020-08-08,Graves,0.000720623339188398
2020-08-09,Graves,0.0006755843804891231
2020-08-10,Graves,0.0006981038598387606
2020-08-11,Graves,0.0007431428185380354
2020-08-12,Graves,0.0007431428185380354
2020-08-13,Graves,0.0007431428185380354
2020-08-14,Graves,0.000720623339188398
2020-08-15,Graves,0.0006981038598387606
2020-08-16,Graves,0.0006755843804891231
2020-08-17,Graves,0.0006305454217898482
2020-08-18,Graves,0.000562986983740936
2020-08-19,Graves,0.000562986983740936
2020-08-20,Graves,0.0005179480250416611
2020-08-21,Graves,0.00047290906634238616
2020-08-22,Graves,0.00047290906634238616
2020-08-23,Graves,0.0004954285456920236
2020-08-24,Graves,0.0004278701076431113
2020-08-25,Graves,0.0004503895869927487
2020-08-26,Graves,0.0003828311489438364
2020-08-27,Graves,0.00040535062829347385
2020-08-28,Graves,0.0004503895869927487
2020-08-29,Graves,0.0004503895869927487
2020-08-30,Graves,0.0004278701076431113
2020-08-31,Graves,0.0004503895869927487
2020-09-01,Graves,0.00047290906634238616
2020-09-02,Graves,0.00047290906634238616
2020-09-03,Graves,0.0004278701076431113
2020-09-04,Graves,0.00033779219024456154
2020-09-05,Graves,0.00027023375219564923
2020-09-06,Graves,0.0002477142728460118
2020-09-07,Graves,0.0002477142728460118
2020-09-08,Graves,0.0002477142728460118
2020-09-09,Graves,0.00020267531414673692
2020-09-10,Graves,0.00020267531414673692
2020-09-11,Graves,0.00022519479349637436
2020-09-12,Graves,0.0001801558347970995
2020-09-13,Graves,0.00020267531414673692
2020-09-14,Graves,0.00022519479349637436
2020-09-15,Graves,0.00020267531414673692
2020-09-16,Graves,0.00015763635544746205
2020-09-17,Graves,0.00011259739674818718
2020-09-18,Graves,0.00011259739674818718
2020-09-19,Graves,0.00011259739674818718
2020-09-20,Graves,0.00011259739674818718
2020-09-21,Graves,0.00011259739674818718
2020-03-06,Graves,0.0
2020-03-07,Graves,0.0
2020-03-08,Graves,0.0
2020-03-09,Graves,0.0
2020-03-10,Graves,0.0
2020-03-11,Graves,0.0
2020-03-12,Graves,0.0
2020-03-13,Graves,0.0
2020-03-14,Graves,0.0
2020-03-15,Graves,0.0
2020-03-16,Graves,0.0
2020-03-17,Graves,0.0
2020-03-18,Graves,0.0
2020-03-19,Graves,0.0
2020-03-20,Graves,0.0
2020-03-21,Graves,0.0
2020-03-22,Graves,0.0
2020-03-23,Graves,0.0
2020-03-24,Graves,2.2519479349637436e-05
2020-03-25,Graves,2.2519479349637436e-05
2020-03-26,Graves,4.503895869927487e-05
2020-03-27,Graves,4.503895869927487e-05
2020-03-28,Graves,4.503895869927487e-05
2020-03-29,Graves,4.503895869927487e-05
2020-03-30,Graves,4.503895869927487e-05
2020-03-31,Graves,4.503895869927487e-05
2020-04-01,Graves,9.007791739854974e-05
2020-04-02,Graves,0.00011259739674818718
2020-04-03,Graves,0.00013511687609782462
2020-04-04,Graves,0.00015763635544746205
2020-04-05,Graves,0.0002477142728460118
2020-04-06,Graves,0.00022519479349637436
2020-04-07,Graves,0.0002477142728460118
2020-04-08,Graves,0.0002477142728460118
2020-04-09,Graves,0.00022519479349637436
2020-04-10,Graves,0.0002477142728460118
2020-04-11,Graves,0.0002477142728460118
2020-04-12,Graves,0.0002477142728460118
2020-04-13,Graves,0.00029275323154528667
2020-04-14,Graves,0.00027023375219564923
2020-04-15,Graves,0.00029275323154528667
2020-04-16,Graves,0.00033779219024456154
2020-04-17,Graves,0.0003152727108949241
2020-04-18,Graves,0.00033779219024456154
2020-04-19,Graves,0.000360311669594199
2020-04-20,Graves,0.00040535062829347385
2020-04-21,Graves,0.0004503895869927487
2020-04-22,Graves,0.00047290906634238616
2020-04-23,Graves,0.0004503895869927487
2020-04-24,Graves,0.00047290906634238616
2020-04-25,Graves,0.0004278701076431113
2020-04-26,Graves,0.00040535062829347385
2020-04-27,Graves,0.0004503895869927487
2020-04-28,Graves,0.0005179480250416611
2020-04-29,Graves,0.0005179480250416611
2020-04-30,Graves,0.000562986983740936
2020-05-01,Graves,0.0005855064630905733
2020-05-02,Graves,0.0006080259424402108
2020-05-03,Graves,0.0005855064630905733
2020-05-04,Graves,0.0006530649011394857
2020-05-05,Graves,0.0006080259424402108
2020-05-06,Graves,0.000562986983740936
2020-05-07,Graves,0.0005179480250416611
2020-05-08,Graves,0.0005404675043912985
2020-05-09,Graves,0.0005404675043912985
2020-05-10,Graves,0.0005404675043912985
2020-05-11,Graves,0.0004954285456920236
2020-05-12,Graves,0.000562986983740936
2020-05-13,Graves,0.000562986983740936
2020-05-14,Graves,0.0005179480250416611
2020-05-15,Graves,0.0005179480250416611
2020-05-16,Graves,0.0005179480250416611
2020-05-17,Graves,0.0005855064630905733
2020-05-18,Graves,0.0006981038598387606
2020-05-19,Graves,0.0007656622978876728
2020-05-20,Graves,0.0007431428185380354
2020-05-21,Graves,0.0007656622978876728
2020-05-22,Graves,0.0007656622978876728
2020-05-23,Graves,0.0007431428185380354
2020-05-24,Graves,0.000720623339188398
2020-05-25,Graves,0.000720623339188398
2020-05-26,Graves,0.0007431428185380354
2020-05-27,Graves,0.0008332207359365852
2020-05-28,Graves,0.0008332207359365852
2020-05-29,Graves,0.0008557402152862226
2020-05-30,Graves,0.0008107012565869477
2020-05-31,Graves,0.0008557402152862226
2020-06-01,Graves,0.0008782596946358601
2020-06-02,Graves,0.0008782596946358601
2020-06-03,Graves,0.0009232986533351349
2020-06-04,Graves,0.0009458181326847723
2020-06-05,Graves,0.0009908570913840472
2020-06-06,Graves,0.0008782596946358601
2020-06-07,Graves,0.0008782596946358601
2020-06-08,Graves,0.0009683376120344098
2020-06-09,Graves,0.0009908570913840472
2020-06-10,Graves,0.0010358960500833222
2020-06-11,Graves,0.0010584155294329595
2020-06-12,Graves,0.0010584155294329595
2020-06-13,Graves,0.0010133765707336846
2020-06-14,Graves,0.0009908570913840472
2020-06-15,Graves,0.001080935008782597
2020-06-16,Graves,0.0011484934468315093
2020-06-17,Graves,0.0011710129261811467
2020-06-18,Graves,0.0010584155294329595
2020-06-19,Graves,0.0010584155294329595
2020-06-20,Graves,0.0011484934468315093
2020-06-21,Graves,0.001080935008782597
2020-06-22,Graves,0.0011034544881322343
2020-06-23,Graves,0.001080935008782597
2020-06-24,Graves,0.0010133765707336846
2020-06-25,Graves,0.0010584155294329595
2020-06-26,Graves,0.001080935008782597
2020-06-27,Graves,0.0010358960500833222
2020-06-28,Graves,0.0009908570913840472
2020-06-29,Graves,0.0009908570913840472
2020-06-30,Graves,0.0009908570913840472
2020-07-01,Graves,0.001125973967481872
2020-07-02,Graves,0.001125973967481872
2020-07-03,Graves,0.001193532405530784
2020-07-04,Graves,0.001193532405530784
2020-07-05,Graves,0.0011034544881322343
2020-07-06,Graves,0.0011034544881322343
2020-07-07,Graves,0.0010584155294329595
2020-07-08,Graves,0.0011484934468315093
2020-07-09,Graves,0.0011710129261811467
2020-07-10,Graves,0.0012160518848804217
2020-07-11,Graves,0.0012160518848804217
2020-07-12,Graves,0.0011484934468315093
2020-07-13,Graves,0.0010133765707336846
2020-07-14,Graves,0.0010133765707336846
2020-07-15,Graves,0.0009908570913840472
2020-07-16,Graves,0.0010133765707336846
2020-07-17,Graves,0.0010584155294329595
2020-07-18,Graves,0.0010358960500833222
2020-07-19,Graves,0.0009458181326847723
2020-07-20,Graves,0.0009908570913840472
2020-07-21,Graves,0.0009458181326847723
2020-07-22,Graves,0.0009458181326847723
2020-07-23,Graves,0.0010358960500833222
2020-07-24,Graves,0.0010133765707336846
2020-07-25,Graves,0.0009683376120344098
2020-07-26,Graves,0.0009458181326847723
2020-07-27,Graves,0.0009458181326847723
2020-07-28,Graves,0.0008557402152862226
2020-07-29,Graves,0.0008332207359365852
2020-07-30,Graves,0.0008557402152862226
2020-07-31,Graves,0.0008332207359365852
2020-08-01,Graves,0.0007881817772373103
